20110228GSC2038.0293_2-187R.fit    17    2011    2         28        22        57        53.0      40.0      
 1219250578641841152      839.851     1931.283           240.72477853756           +25.17845620547    11.9923     -0.536     -26.414         2.3070          -7.72
 1219262020434659456     1699.257     1809.248           240.62288194118           +25.16680238816    12.4515     -16.183     -0.799         1.9136         -32.65
 1219267861590264832     1586.427      393.928           240.59161467781           +25.31631607684    12.7308     -41.651     -12.381         2.6172         -58.14
 1219268136468174848     1730.254      137.324           240.56716352577           +25.33877498730    13.2418      2.901      1.175         2.1471         -12.54
 1219263978939807232      472.980     1483.617           240.75275609624           +25.23509088005    13.1832     -1.267     -13.310         2.5376         -19.25
 1219261951715181696     1580.862     1925.071           240.64000739920           +25.15817347669    13.3647      7.182     -15.208         1.3751          38.03
 1219266727718891264     1417.855      882.227           240.62610880126           +25.27059645441    13.6722      0.512     -6.742         0.2919         -34.04
 1219264872293010944      273.721      872.031           240.75650606549           +25.30397756493    13.5957     -15.021     -1.672        12.4306          -1.46
 1219268136468174720     1720.311      139.957           240.56838584490           +25.33878720368    14.6607      2.943      1.082         2.1350          -9.97
 1219271916039382016       99.532      258.804           240.75734756240           +25.37231944728    14.6149     -4.819      2.201         1.3427          -6.55
 1219265525128040704      360.432      863.594           240.74632512814           +25.30239053809    14.9181      1.134      0.413         0.4871           0.00
 1219268445705812352     1019.966      491.307           240.65938003591           +25.32227196487    15.2556     -4.265     -4.513         0.5769           0.00
 1219274905336624768      348.608       80.972           240.72337037968           +25.38370017828    15.4733     -25.243      5.647         1.7637           0.00
 1219267999029221888     1970.514      195.535           240.54153482004           +25.32592958514    15.9037      1.886     -3.146         0.5444           0.00
 1219265696926734976      388.412      682.502           240.73750118285           +25.32034806587    15.6873     -6.113     -15.101         0.9394           0.00
 1219266212322743936     1836.946     1073.946           240.58420347988           +25.23889989208    15.9203      3.971     -20.883         2.5940           0.00
 1219264769213794944      256.087      947.435           240.76085674371           +25.29668582692    15.9448      2.738      0.096         1.5177           0.00
 1219262089154135552     1472.139     1763.757           240.64737879433           +25.17791903982    16.1600     -15.109     -1.267         0.7930           0.00
 1219262089154135424     1345.500     1738.362           240.66103305102           +25.18414411619    15.9929      1.519     -8.333         0.1069           0.00
 1219263016867073920     2041.759     1473.742           240.57330414468           +25.19179458791    16.1572     -2.608      0.097         0.3688           0.00
 1219262535830888192     1293.075     1593.130           240.66248570878           +25.20061736163    16.3048      2.295     -5.757         0.6975           0.00
 1219262398391843200      992.978     1748.354           240.70158115826           +25.19304203281    16.2212      4.565     -3.769         1.0452           0.00
 1219252262269020800      279.196     1592.614           240.77825312036           +25.22923529261    16.4940      7.433      9.295         1.3830           0.00
 1219262982508309632     1602.565     1443.255           240.62245545691           +25.20735840376    16.5311     -2.512     -6.224         0.3483           0.00
 1219263875860592384      562.480     1504.333           240.74317170542           +25.23041481588    16.0765      6.359     -7.994         0.4218           0.00
 1219262192233349120     1218.271     1925.263           240.68135059114           +25.16839142760    16.5086     -3.149     -11.277         0.3204           0.00
 1219267895950005888     1764.704      223.809           240.56600141565           +25.32884629884    16.7965     -11.676     -2.074         0.7728           0.00
20110228GSC2038.0293_2-181R.fit    32    2011    2         28        22        52        50.0      40.0      
 1219268823662931840      634.400      387.276           240.70020197848           +25.34382258654    10.2701     -213.697     -40.992        13.4786         -95.31
 1219251918671633408      120.594     1890.536           240.80560512693           +25.20283748346    11.5911     -1.213     -19.329         0.5084         -71.86
 1219250578641841152      839.514     1930.430           240.72477853756           +25.17845620549    11.9923     -0.536     -26.414         2.3070          -7.72
 1219262020434659456     1698.911     1808.365           240.62288194119           +25.16680238816    12.4515     -16.183     -0.799         1.9136         -32.65
 1219267861590264832     1585.999      392.976           240.59161467783           +25.31631607685    12.7308     -41.651     -12.381         2.6172         -58.14
 1219268136468174848     1729.792      136.313           240.56716352577           +25.33877498730    13.2418      2.901      1.175         2.1471         -12.54
 1219263978939807232      472.668     1482.728           240.75275609624           +25.23509088006    13.1832     -1.267     -13.310         2.5376         -19.25
 1219261951715181696     1580.509     1924.300           240.64000739920           +25.15817347669    13.3647      7.182     -15.208         1.3751          38.03
 1219266727718891264     1417.466      881.316           240.62610880126           +25.27059645441    13.6722      0.512     -6.742         0.2919         -34.04
 1219264872293010944      273.465      871.084           240.75650606549           +25.30397756493    13.5957     -15.021     -1.672        12.4306          -1.46
 1219268136468174720     1719.916      138.992           240.56838584490           +25.33878720368    14.6607      2.943      1.082         2.1350          -9.97
 1219271916039382016       99.284      257.775           240.75734756240           +25.37231944728    14.6149     -4.819      2.201         1.3427          -6.55
 1219265525128040704      360.271      862.594           240.74632512814           +25.30239053809    14.9181      1.134      0.413         0.4871           0.00
